la_position,pend_velocity,pend_position,cmd_volts,elapsed
1.2027,621,150.12,-1.385742,40
1.43172,706.5,178.38,-2.206055,40
1.78746,733.5,-152.28,-2.916992,40
2.20962,693,-124.56,-2.004883,40
2.4675,563.076923,-102.6,-1.160156,39
2.60538,439.02439,-84.6,-0.539062,41
2.63952,313.846154,-72.36,0.328125,39
2.56068,193.5,-64.62,1.263672,40
2.33772,90,-61.02,1.869141,40
2.02884,-27,-62.1,2.15918,40
1.62132,-131.707317,-67.5,4.603516,41
1.1514,-249.230769,-77.22,1.726562,39
0.8007,-373.5,-92.16,0.969727,40
0.7212,-499.5,-112.14,0.073242,40
0.67644,-616.5,-136.8,0.860352,40
0.50538,-715.609756,-166.14,1.433594,41
0.27942,-756,163.62,1.604492,40
0.03342,-729,134.46,1.663086,40
-0.177,-630,109.26,0.915039,40
-0.27534,-495,89.46,0.397461,40
-0.3039,-373.5,74.52,0.000977,40
-0.25566,-247.5,64.62,-1.033203,40
-0.04896,-139.5,59.04,-1.857422,40
0.27408,-45,57.24,-2.333008,40
0.6561,58.5,59.58,-2.493164,40
1.0449,175.5,66.6,-2.328125,40
1.39038,306,78.84,-1.791016,40
1.63146,423,95.76,-0.834961,40
1.70742,535.5,117.18,0.295898,40
1.68756,641.538462,142.2,-0.928711,39
1.848,760.5,172.62,-1.889648,40
2.15298,810,-154.98,-2.579102,40
2.52042,769.5,-124.2,-1.946289,40
2.77404,657,-97.92,-0.999023,40
2.88486,517.5,-77.22,-0.4375,40
2.89248,400.5,-61.2,0.862305,40
2.71338,301.5,-49.14,2.077148,40
2.34468,220.5,-40.32,2.995117,40
1.87134,139.5,-34.74,3.672852,40
1.39308,58.5,-32.4,4.103516,40
0.91122,-22.5,-33.3,4.296875,40
0.4197,-100.97561,-37.44,5.006836,41
-0.06108,-184.5,-44.82,5.011719,40
-0.5469,-279,-55.98,5.006836,40
-1.03698,-391.5,-71.64,2.673828,40
-1.52682,-513,-92.16,1.44043,40
-1.72698,-625.5,-117.18,0.137695,40
-1.77726,-724.5,-146.16,0.964844,40
-1.94028,-810,-178.56,1.123047,40
-2.12532,-801,149.4,1.428711,40
-2.33502,-742.5,119.7,1.277344,40
-2.49042,-621,94.86,0.530273,40
-2.54004,-490.5,75.24,0.143555,40
-2.50392,-373.5,60.3,-0.950195,40
-2.30454,-281.538462,49.32,-2.181641,39
-1.89264,-219.512195,40.32,-3.078125,41
-1.41714,-147.692308,34.56,-3.670898,39
-0.93144,-76.5,31.5,-4.116211,40
-0.44658,-13.5,30.96,-4.327148,40
0.03072,49.5,32.94,-4.322266,40
0.52296,114.146341,37.62,-4.095703,41
0.99372,193.846154,45.18,-3.631836,39
1.47318,288,56.7,-3.513672,40
1.95072,387,72.18,-2.610352,40
2.42274,495,91.98,-1.384766,40
2.62266,614.634146,117.18,0.183594,41
2.6118,720,145.26,-0.838867,39
2.75106,814.5,177.84,-1.771484,40
3.0417,856.097561,-147.06,-2.601562,41
3.38766,810,-114.66,-1.595703,40
3.05874,193.5,-17.64,0.880859,40
2.84826,144,-11.88,5.008789,40
2.38134,171,-5.04,5.008789,40
1.90488,153,1.08,2.908203,40
1.4655,143.076923,6.66,-0.623047,39
1.5834,26.341463,7.74,-4.09082,41
2.0388,-50.769231,5.76,-4.664062,39
2.51184,-144,0,-3.413086,40
2.9391,-36,-1.44,0.107422,40
2.90562,67.5,1.26,0.642578,40
2.86746,79.02439,4.5,-0.664062,41
3.0207,50.769231,6.48,-2.742187,39
3.2556,798.461538,148.86,0.504883,39
3.19836,856.097561,-176.04,0.505859,41
3.13806,846,-142.2,0.505859,40
3.07158,765,-111.6,0.503906,40
3.03204,639,-86.04,-0.588867,40
3.08508,504,-65.88,0.220703,40
3.00474,409.5,-49.5,1.712891,40
2.71194,327.692308,-36.72,2.955078,39
2.2353,289.756098,-24.84,3.918945,41
1.77012,244.615385,-15.3,4.811523,39
1.28736,207,-7.02,5.011719,40
0.80514,175.5,0,4.071289,40
0.3351,171,6.84,-0.12207,40
0.39642,83.414634,10.26,-4.222656,41
0.8538,18.461538,10.98,-4.994141,39
1.33368,36,12.42,-4.993164,40
1.81086,54,14.58,-4.994141,40
2.28648,90,18.18,-4.99707,40
2.76618,140.487805,23.94,-4.996094,41
3.2205,189.230769,31.32,-4.807617,39
3.29418,882,-152.82,0.503906,40
3.22902,819,-120.06,0.504883,40
3.15708,702,-91.98,0.503906,40
3.08346,571.5,-69.12,0.504883,40
2.97636,450,-51.12,1.451172,40
2.6988,369,-36.36,2.821289,40
2.26272,313.846154,-24.12,3.939453,39
1.77072,276.585366,-12.78,4.864258,41
1.3029,249.230769,-3.06,5.006836,39
0.82404,229.5,6.12,1.65918,40
0.5769,193.5,13.86,-3.845703,40
1.02354,81,17.1,-4.99707,40
1.506,103.5,21.24,-4.994141,40
1.97976,148.5,27.18,-4.996094,40
2.45334,211.5,35.64,-4.520508,40
2.92194,288,47.16,-4.288086,40
3.38766,382.5,62.46,-3.378906,40
3.34884,558,-70.38,0.503906,40
3.2763,436.5,-52.92,0.505859,40
3.20406,333,-39.6,0.505859,40
3.1143,252,-29.52,1.108398,40
2.87106,207,-21.24,3.119141,40
2.40942,193.5,-13.5,5.006836,40
1.93206,171,-6.66,5.007812,40
1.47942,147.692308,-0.9,3.880859,39
1.00182,144,4.86,0.439453,40
0.94578,67.5,7.56,-3.007812,40
1.39998,-31.5,6.3,-4.585937,40
1.87722,-27,5.22,-3.749023,40
2.35128,-18,4.5,-3.102539,40
2.83248,0,4.5,-2.675781,41
3.2892,13.846154,5.04,-2.685547,39
3.33834,272.307692,38.88,0.505859,39
3.26736,346.5,52.74,0.50293,40
3.19452,452.195122,71.28,0.503906,41
3.12348,567,93.96,0.505859,40
3.04974,693,121.68,0.726562,40
3.00354,807.692308,153.18,-0.978516,39
3.16386,900,-169.92,-1.795898,41
3.33822,882,-134.64,0.506836,40
3.2514,756,-104.4,0.503906,40
3.17928,625.5,-79.38,0.503906,40
3.10446,499.5,-59.4,0.504883,40
3.02112,382.5,-44.1,0.798828,40
2.81604,310.5,-31.68,3.356445,40
2.3766,272.307692,-21.06,4.300781,39
1.8858,245.853659,-10.98,5.010742,41
1.40514,211.5,-2.52,5.007812,40
0.94014,203.076923,5.4,1.364258,39
0.72288,157.5,11.7,-3.391602,40
1.17,40.5,13.32,-4.99707,40
1.66344,52.682927,15.48,-4.993164,41
2.12406,87.692308,18.9,-4.996094,39
2.59746,130.5,24.12,-4.99707,40
3.0642,184.5,31.5,-4.802734,40
3.52596,247.5,41.4,-4.615234,40
3.39378,597.073171,-73.08,0.504883,41
3.3207,468,-54.36,0.503906,40
3.24912,360,-39.96,0.506836,40
3.16284,274.5,-28.98,0.985352,40
3.01314,225,-19.98,0.969727,40
2.78052,189,-12.42,5.005859,40
2.33754,198.461538,-4.68,5.008789,39
1.84656,193.170732,3.24,2.671875,41
1.44936,193.846154,10.8,-2.069336,39
1.7784,61.463415,13.32,-4.995117,41
2.24166,46.153846,15.12,-4.99707,39
2.71272,67.5,17.82,-4.996094,40
3.19554,109.756098,22.32,-4.994141,41
3.63126,166.153846,28.8,0.506836,39
3.61728,315,41.4,0.505859,40
3.53994,409.5,57.78,0.504883,40
3.47202,513,78.3,0.50293,40
3.40026,627.804878,104.04,0.504883,41
3.3387,752.307692,133.38,0.505859,39
3.28032,846,167.22,0.50293,40
3.22296,873,-157.86,0.505859,40
3.15564,820.97561,-124.2,0.505859,41
3.08166,715.5,-95.58,0.50293,40
3.03504,589.5,-72,-0.40332,40
